filename,makam,form,usul,title,composer,midi_path,processed_filename
acemasiran--sarki--kapali_curcuna--gam_cekme--arif_sami_toker.mid,acemasiran,sarki,kapali_curcuna,gam cekme,arif sami toker,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/acemasiran--sarki--kapali_curcuna--gam_cekme--arif_sami_toker.mid,symbtr_073_acemasiran_sarki.mid
rast--sarki--sofyan--acilan_bir--dramali_hasan_hasguler.mid,rast,sarki,sofyan,acilan bir,dramali hasan hasguler,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/rast--sarki--sofyan--acilan_bir--dramali_hasan_hasguler.mid,symbtr_074_rast_sarki.mid
nihavent--longa--nimsofyan----kevser_hanim.mid,nihavent,longa,nimsofyan,,kevser hanim,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/nihavent--longa--nimsofyan----kevser_hanim.mid,symbtr_075_nihavent_longa.mid
revnaknuma--kupe--agirevfer--ol_guzel--ahmet_avni_konuk.mid,revnaknuma,kupe,agirevfer,ol guzel,ahmet avni konuk,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/revnaknuma--kupe--agirevfer--ol_guzel--ahmet_avni_konuk.mid,symbtr_076_revnaknuma_kupe.mid
sabaasiran--seyir--sofyan--1--sefik_gurmeric.mid,sabaasiran,seyir,sofyan,1,sefik gurmeric,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/sabaasiran--seyir--sofyan--1--sefik_gurmeric.mid,symbtr_077_sabaasiran_seyir.mid
kucek--kupe--duyek--bezme--ahmet_avni_konuk.mid,kucek,kupe,duyek,bezme,ahmet avni konuk,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/kucek--kupe--duyek--bezme--ahmet_avni_konuk.mid,symbtr_078_kucek_kupe.mid
huseyni--turku--curcuna--sari_gelin--erzurum.mid,huseyni,turku,curcuna,sari gelin,erzurum,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/huseyni--turku--curcuna--sari_gelin--erzurum.mid,symbtr_079_huseyni_turku.mid
hicazkar--sarki--agiraksak--gel_seninle--sadullah_efendi.mid,hicazkar,sarki,agiraksak,gel seninle,sadullah efendi,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/hicazkar--sarki--agiraksak--gel_seninle--sadullah_efendi.mid,symbtr_080_hicazkar_sarki.mid
buselik--aranagme--semai--1--.mid,buselik,aranagme,semai,1,,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/buselik--aranagme--semai--1--.mid,symbtr_081_buselik_aranagme.mid
tarzinevin--seyir--sofyan--1--sefik_gurmeric.mid,tarzinevin,seyir,sofyan,1,sefik gurmeric,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/tarzinevin--seyir--sofyan--1--sefik_gurmeric.mid,symbtr_082_tarzinevin_seyir.mid
